Author (s),Year,Reference,Country Income Group,Technology,Spatial Focus,SDG Addressed,Methodology
Jiang et al.,2022,,None,All,Not Applicable,All,Literature Review
Wu et al.,2018,,None,All,Not Applicable,All,Literature Review
Karakani,2024,,UMC,All,Not Applicable,All,Experiment & Survey
Joshi et al.,2024,,LIC,All,Not Applicable,SDG 4,Optimization & AI
Robles-Gómez,2021,,HIC,All,Urban,SDG 4,Experiment & Survey
Oruma et al.,2021,,LIC,All,Rural,SDG 2,Literature Review
Xiang et al.,2022,,UMC,Wired,Rural,Not Mentioned,Experiment & Survey
De Souza et al.,2021,,UMC,All,Remote,SDG 8,Empirical
Phillipson et al.,2013,,HIC,Wired,Urban,SDG 8,Empirical
Islam et al.,2021,,HIC,Fixed Wireless,Remote,SDG 8,Experiment & Survey
Kryszkiewicz et al.,2022,,HIC,Mobile,Rural,SDG 9,Experiment & Survey
Bolla et al.,2010,,HIC,All,All,SDG 13,Literature Review
Shehab et al.,2021,,HIC,Mobile,All,SDG 13,Literature Review
Maier et al.,2014,,HIC,All,All,SDG 9,Literature Review
Nomikos et al.,2022,,HIC,Satellite,All,SDG 9,Literature Review
Lu et al.,2016,,UMC,All,All,SDG 13,Optimization & AI
Liu et al.,2014,,HIC,Mobile,All,Not Mentioned,Statistical
Temesgene et al.,2017,,HIC,Mobile,All,SDG 13,Literature Review
He et al.,2013,,UMC,Mobile,All,Not Mentioned,Optimization & AI
Helmy & Nayak,2020,,HIC,Wired,All,Not Mentioned,Optimization & AI
Savazzi et al.,2022,,HIC,Mobile,All,Not Mentioned,Optimization & AI
Israr,2023,,LIC,Mobile,Urban,SDG 13,Optimization & AI
Gandotra et al.,2017,,LIC,Mobile,All,Not Mentioned,Optimization & AI
Garroussi et al.,2023,,HIC,Mobile,All,SDG 13,Optimization & AI
Sboui et al.,2016,,HIC,Mobile,All,SDG 13,Optimization & AI
Edquist et al.,2018,,Global,Mobile,All,SDG 8,Statistical
Wang et el.,2024,,UMC,Wired,Rural,SDG 8,Empirical
Sinclair,2023,,HIC,Wired,Urban,Not Mentioned,Experiment & Survey
Zhang & Weng,2024,,UMC,Wired,Urban,SDG 10,Empirical
Xiao et al.,2024,,UMC,All,Urban,SDG 13,Empirical
Golin & Romarri,2024,,HIC,Wired,Urban,SDG 10,Empirical
Oughton et al.,2023,,Global,All,All,SDG 9,Empirical
C. Wang & L.  Wang,2024,,UMC,Wired,Urban,SDG 9,Empirical
Zhang,2021,,HIC,Wired,All,SDG 9,Empirical
Zhou et al.,2024,,UMC,All,Urban,SDG 13,Empirical
Aldashev & Batkeyev,2021,,UMC,Wired,Rural,SDG 9,Empirical
Ma et al.,2024,,UMC,Wired,Urban,SDG 9,Empirical
Li et al.,2024,,UMC,All,Urban,Not Mentioned,Empirical
Abrardi & Sabatino,2023,,HIC,Wired,Urban,SDG 9,Empirical
Edquist ,2022,,Global,Mobile,All,SDG 9,Empirical
Peng et al.,2024,,UMC,All,All,SDG 13,Empirical
Briglauer et al.,2024,,Global,Wired,All,Not Mentioned,Literature Review
