country,type,access,model,sensor,platform,year,spec_band,min_band(nm),max_band(nm),publisher,technologies,object_class,dataset_name,n-gram
United Kingdom,peer reviwed,Open Access,Tensorflow,"ultraviolet, X-ray","ground, satellite",2022,,,,Springer,"ultraviolet, X-ray",solar activity,custom,"('detection', 6), ('segmentation', 5), ('ar', 4), ('image', 4), ('solar', 3)"
Algeria,conference,Pay Wall,YOLOv5,MSI,satellite,2022,,450,745,IEEE,MSI,stadium,"Alsat-2, Google-Earth multispectral images","('detection', 4), ('object', 3), ('proposed', 3), ('training', 3), ('rs', 2)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR","ground, multirotor",2023,,450,14000,MDPI,YOLOv7 modified,"humans, vehicles","KAIST multispectral pedestrian
detection dataset, FLIR, DroneVehicle","('fault', 5), ('method', 4), ('image', 3), ('environments', 3), ('model', 3)"
India,peer reviwed,Pay Wall,YOLO-modified,RGB,ground,2024,,450,660,Elsevier,YOLOv5 modified,animals,custom,"detection', 9), ('pedestrian', 6), ('fusion', 4), ('method', 3), ('visible', 2)"
India,conference,Pay Wall,KNN,HSI,satellite,2023,,450,1000,IEEE,HSI,,Pavia University Dataset,"('classification', 4), ('hyperspectral', 4), ('images', 4), ('object', 3), ('detection', 3)"
India,peer reviwed,Open Access,"YOLOv3, YOLOv4","RGB, NIR",ground,2022,,450,840,Springer,"RGB, NIR",COCO,custom,"('nir', 7), ('object', 5), ('spectrum', 5), ('rgb', 5), ('detection', 4)"
India,conference,Pay Wall,YOLOv3,LWIR,ground,2020,,8000,14000,IEEE,YOLOv3,humans,NVIE,"('face', 4), ('thermal', 4), ('acknowledgment', 2), ('facial', 2), ('emotion', 2)"
Taiwan,conference,Pay Wall,YOLOv4,RGB,ground,2023,,450,14000,IEEE,YOLOv4,humans,"KAIST multispectral pedestrian
detection dataset ","('information', 7), ('multispectral', 5), ('visible', 4), ('technologies', 2), ('use', 2)"
China,peer reviwed,Open Access,CNN,MSI,satellite,2020,,450,900,IEEE,MSI,clouds,GF-1 WFV,"('cloud', 8), ('shadow', 5), ('mean', 5), ('detection', 4), ('method', 4)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,MDPI,YOLOv7 modified,humans,"M3FD, Utokyo","('speed', 5), ('small', 4), ('objects', 4), ('dataset', 4), ('accuracy', 3)"
