country,type,access,model,sensor,platform,year,spec_band,min_band(nm),max_band(nm),publisher,standard_country,in_world_map,latitude,longitude,author_city
United Kingdom,peer reviwed,Open Access,Tensorflow,"ultraviolet, X-ray","ground, satellite",2022,,,,Springer,United Kingdom,TRUE,,,
Algeria,conference,Pay Wall,YOLOv5,MSI,satellite,2022,,450,745,IEEE,Algeria,TRUE,,,
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR","ground, multirotor",2023,,450,14000,MDPI,China,TRUE,43.8171,125.3235,Changchun
India,peer reviwed,Pay Wall,YOLO-modified,RGB,ground,2024,,450,660,Elsevier,India,TRUE,,,
India,conference,Pay Wall,KNN,HSI,satellite,2023,,450,1000,IEEE,India,TRUE,,,
India,peer reviwed,Open Access,"YOLOv3, YOLOv4","RGB, NIR",ground,2022,,450,840,Springer,India,TRUE,,,
India,conference,Pay Wall,YOLOv3,LWIR,ground,2020,,8000,14000,IEEE,India,TRUE,,,
Taiwan,conference,Pay Wall,YOLOv4,RGB,ground,2023,,450,14000,IEEE,Taiwan,TRUE,,,
China,peer reviwed,Open Access,CNN,MSI,satellite,2020,,450,900,IEEE,China,TRUE,30.5928,114.3052,Wuhan
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,MDPI,China,TRUE,30.5928,114.3052,Wuhan
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, NIR",ground,2024,,450,2500,Elsevier,China,TRUE,31.8333,117.2857,Anhui
Taiwan,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,IEEE,Taiwan,TRUE,,,
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2022,,450,14000,MDPI,China,TRUE,32.0584,118.7965,Nanjing
China,conference,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,IEEE,China,TRUE,39.9042,116.4074,Beijing
India,peer reviwed,Open Access,CNN,HSI,satellite,2022,,380,780,IEEE,India,TRUE,,,
India,conference,Pay Wall,CNN,HSI,ground,2022,,380,780,IEEE,India,TRUE,,,
France,conference,Open Access,YOLOv5,"MSI, RGB",ground,2023,,550,830,HAL,France,TRUE,,,
Spain,peer reviwed,Open Access,YOLOv8,"RGB, MSI, LWIR",ground,2024,,400,14000,MDPI,Spain,TRUE,,,
China,pre-print,Open Access,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,Arxiv,China,TRUE,30.5723,104.06667,Chengdu
Vietnam,conference,Pay Wall,YOLOv4,"RGB, LWIR",ground,2021,,450,14000,IEEE,Viet Nam,FALSE,,,
United States,peer reviwed,Pay Wall,YOLOv5,LWIR,ground,2024,,8000,14000,Elsevier,United States of America,TRUE,,,
China,peer reviwed,Open Access,YOLOv5,MSI,ground,2023,,620,816,MDPI,China,TRUE,30.5928,114.3052,Wuhan
China,peer reviwed,Open Access,Faster RCNN,"RGB, LWIR",ground,2020,,450,14000,Elsevier,China,TRUE,31.2304,121.4737,Shanghai
China,peer reviwed,Pay Wall,R-FCN,"RGB, LWIR",ground,2020,,450,14000,Elsevier,China,TRUE,31.2304,121.4737,Shanghai
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2023,,8000,14000,IET,China,TRUE,32.0584,118.7965,Nanjing
China,conference,Pay Wall,YOLOv4,"RGB, LWIR",ground,2021,,450,14000,IEEE,China,TRUE,34.7466,113.6253,Zhengzhou 
China,pre-print,Open Access,YOLO-modified,"RGB, LWIR",ground,2024,,450,14000,Arxiv,China,TRUE,31.2304,121.4737,Shanghai
Egypt,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,MDPI,Egypt,TRUE,,,
Turkey,conference,Pay Wall,CNN,HSI,ground,2020,,380,1000,IEEE,Turkey,TRUE,,,
Italy,conference,Pay Wall,R-CNN,MSI,satellite,2022,,490,2190,IEEE,Italy,TRUE,,,
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, NIR",ground,2022,,450,850,Elsevier,China,TRUE,39.9042,116.4074,Beijing
Ireland,peer reviwed,Pay Wall,YOLOv5,LWIR,ground,2021,,8000,14000,IEEE,Ireland,TRUE,,,
Ireland,peer reviwed,Open Access,YOLOv5,LWIR,ground,2022,,8000,14000,IEEE,Ireland,TRUE,,,
United Kingdom,peer reviwed,Open Access,,"NDVI, CHL, ",multirotor,2020,,380,2500,MDPI,United Kingdom,TRUE,,,
China,peer reviwed,Open Access,U-net,"RGB, MSI",satellite,2022,,443,2190,MDPI,China,TRUE,45.7567,126.6424,Harbin
China,peer reviwed,Open Access,"YOLOv5, YOLOv7","RGB, NIR",multirotor,2023,,450,2500,MDPI,China,TRUE,44.3065,86.0349,Shihezi
